550+547  1097
224+302  526
27+995  1022
404+270  674
75+612  687
245+304  549
780+343  1123
98+38  136
909+462  1371
587+664  1251
230+451  681
816+953  1769
715+824  1539
966+423  1389
940+672  1612
140+336  476
627+693  1320
997+679  1676
283+348  631
99+930  1029
610+878  1488
944+332  1276
442+22  464
691+119  810
189+450  639
307+930  1237
760+688  1448
806+48  854
551+883  1434
652+541  1193
365+174  539
611+138  749
179+251  430
488+544  1032
79+899  978
967+284  1251
707+506  1213
299+782  1081
222+754  976
750+54  804
854+605  1459
300+765  1065
89+932  1021
966+662  1628
470+234  704
377+799  1176
884+134  1018
45+465  510
785+748  1533
198+479  677
690+780  1470
676+23  699
796+252  1048
569+862  1431
455+278  733
294+37  331
677+345  1022
139+896  1035
945+185  1130
866+425  1291
385+319  704
969+36  1005
886+625  1511
661+394  1055
216+989  1205
829+136  965
635+77  712
402+644  1046
787+435  1222
760+123  883
224+239  463
140+461  601
594+261  855
442+485  927
667+782  1449
797+307  1104
227+35  262
356+664  1020
57+219  276
955+945  1900
249+867  1116
575+833  1408
78+209  287
102+554  656
946+956  1902
667+320  987
270+477  747
791+868  1659
405+989  1394
776+889  1665
829+874  1703
274+972  1246
953+647  1600
866+991  1857
85+963  1048
209+264  473
264+426  690
491+329  820
423+917  1340
128+329  457
960+277  1237
843+418  1261
965+149  1114
368+791  1159
726+387  1113
246+156  402
744+527  1271
230+363  593
201+159  360
855+940  1795
485+987  1472
168+51  219
459+774  1233
270+156  426
864+895  1759
877+678  1555
451+146  597
563+564  1127
386+379  765
662+639  1301
764+803  1567
177+877  1054
212+547  759
619+376  995
36+374  410
506+502  1008
509+271  780
730+167  897
51+465  516
818+631  1449
948+735  1683
963+525  1488
937+681  1618
249+912  1161
636+18  654
829+969  1798
927+672  1599
711+455  1166
653+765  1418
130+81  211
445+985  1430
221+95  316
347+78  425
488+15  503
712+213  925
727+281  1008
637+402  1039
70+23  93
651+574  1225
284+86  370
653+881  1534
710+171  881
148+226  374
847+596  1443
253+414  667
370+27  397
172+744  916
709+264  973
664+236  900
567+215  782
345+947  1292
976+957  1933
758+356  1114
271+561  832
687+150  837
944+260  1204
634+9  643
838+572  1410
313+467  780
369+152  521
818+857  1675
473+914  1387
190+256  446
200+269  469
504+622  1126
94+893  987
278+694  972
293+856  1149
465+302  767
603+322  925
100+862  962
98+977  1075
621+61  682
813+319  1132
891+154  1045
462+784  1246
571+150  721
389+919  1308
57+971  1028
141+937  1078
869+814  1683
74+265  339
494+571  1065
109+69  178
71+902  973
447+529  976
6+16  22
601+877  1478
728+661  1389
604+891  1495
701+929  1630
695+651  1346
952+608  1560
404+271  675
885+387  1272
7+984  991
330+774  1104
805+397  1202
133+841  974
32+245  277
597+772  1369
382+878  1260
830+978  1808
936+419  1355
772+858  1630
390+171  561
16+343  359
577+990  1567
436+188  624
609+768  1377
94+854  948
413+790  1203
890+210  1100
791+48  839
117+968  1085
110+447  557
492+679  1171
390+702  1092
921+455  1376
100+112  212
612+670  1282
16+62  78
924+531  1455
685+987  1672
428+977  1405
177+324  501
516+934  1450
805+654  1459
328+530  858
884+896  1780
685+978  1663
581+257  838
720+79  799
881+682  1563
941+823  1764
558+235  793
678+142  820
509+542  1051
632+948  1580
20+9  29
152+1000  1152
229+122  351
280+211  491
166+570  736
620+365  985
660+468  1128
112+735  847
647+752  1399
795+243  1038
421+664  1085
556+13  569
908+659  1567
782+875  1657
243+482  725
938+694  1632
384+820  1204
255+532  787
709+706  1415
361+821  1182
847+105  952
324+871  1195
898+151  1049
811+971  1782
943+955  1898
250+709  959
269+859  1128
50+456  506
960+950  1910
530+777  1307
934+236  1170
93+112  205
315+617  932
82+625  707
135+352  487
164+608  772
483+493  976
200+378  578
3+337  340
665+530  1195
241+947  1188
800+602  1402
412+995  1407
815+494  1309
677+792  1469
881+525  1406
95+819  914
496+25  521
595+178  773
294+729  1023
49+501  550
348+715  1063
269+711  980
514+394  908
279+856  1135
197+313  510
314+844  1158
90+308  398
695+466  1161
885+858  1743
49+831  880
417+624  1041
574+651  1225
489+826  1315
387+469  856
669+872  1541
469+840  1309
840+501  1341
824+819  1643
715+95  810
682+589  1271
198+846  1044
299+941  1240
669+95  764
547+838  1385
494+226  720
511+944  1455
837+359  1196
737+945  1682
331+843  1174
213+154  367
675+406  1081
426+857  1283
86+213  299
998+525  1523
705+782  1487
121+624  745
964+320  1284
534+294  828
905+805  1710
652+342  994
354+661  1015
88+445  533
343+998  1341
172+804  976
579+215  794
358+429  787
46+148  194
453+689  1142
96+40  136
744+255  999
640+638  1278
46+203  249
408+313  721
547+325  872
664+653  1317
771+568  1339
578+529  1107
445+832  1277
815+25  840
429+235  664
7+145  152
177+0  177
327+326  653
735+869  1604
793+738  1531
912+164  1076
659+380  1039
607+8  615
322+302  624
593+638  1231
343+328  671
450+291  741
486+835  1321
501+577  1078
357+472  829
782+305  1087
926+70  996
832+797  1629
475+15  490
722+188  910
588+472  1060
30+261  291
24+553  577
507+386  893
650+549  1199
830+98  928
788+81  869
601+6  607
339+404  743
649+407  1056
315+379  694
385+554  939
198+564  762
51+853  904
317+936  1253
143+500  643
358+507  865
225+627  852
784+170  954
161+784  945
525+109  634
845+390  1235
500+74  574
717+991  1708
645+227  872
769+601  1370
696+462  1158
268+438  706
707+375  1082
464+679  1143
971+662  1633
887+657  1544
325+963  1288
617+216  833
112+302  414
27+405  432
639+723  1362
537+671  1208
51+361  412
27+156  183
625+253  878
244+679  923
925+730  1655
837+212  1049
282+757  1039
854+98  952
887+502  1389
4+873  877
360+374  734
45+731  776
273+665  938
63+545  608
156+218  374
908+991  1899
980+517  1497
670+443  1113
653+221  874
99+931  1030
796+943  1739
338+154  492
46+641  687
40+101  141
571+333  904
717+439  1156
467+569  1036
939+26  965
247+218  465
618+118  736
710+101  811
19+769  788
247+478  725
925+924  1849
554+157  711
867+53  920
57+629  686
989+595  1584
552+301  853
272+676  948
409+709  1118
15+329  344
985+99  1084
807+821  1628
400+367  767
692+599  1291
697+868  1565
944+201  1145
608+967  1575
418+412  830
810+17  827
410+874  1284
335+213  548
2+285  287
846+558  1404
412+786  1198
164+974  1138
106+813  919
12+215  227
992+279  1271
559+277  836
369+658  1027
273+734  1007
687+228  915
691+188  879
471+963  1434
458+22  480
990+984  1974
559+674  1233
806+518  1324
465+807  1272
643+243  886
40+23  63
227+978  1205
511+263  774
835+793  1628
463+883  1346
208+995  1203
840+10  850
454+348  802
599+15  614
244+553  797
825+885  1710
289+305  594
133+328  461
548+711  1259
497+585  1082
779+583  1362
397+107  504
402+666  1068
326+936  1262
493+233  726
927+170  1097
616+919  1535
285+883  1168
106+454  560
247+549  796
908+208  1116
556+713  1269
786+97  883
81+912  993
853+278  1131
677+28  705
622+57  679
708+677  1385
663+743  1406
53+779  832
738+547  1285
780+493  1273
3+308  311
517+584  1101
220+515  735
406+328  734
643+447  1090
823+799  1622
546+990  1536
492+128  620
166+949  1115
